,z,t,theta_train
575,-5.0,0.8759999999999999,0.27257298255583323
576,-5.0,0.888,0.28093477320985166
577,-5.0,0.9,0.2728364419636019
578,-5.0,0.912,0.2627286506276481
579,-5.0,0.924,0.2735503371046679
580,-5.0,0.9359999999999999,0.27226203799354226
581,-5.0,0.948,0.2762353336455696
582,-5.0,0.96,0.26596067161257486
583,-5.0,0.972,0.2717966989381829
584,-5.0,0.9840000000000001,0.2704591087742719
585,-5.0,0.996,0.2700561006867787
586,-5.0,1.008,0.2658859119215929
587,-5.0,1.02,0.26570528302011853
588,-5.0,1.032,0.2692549734029329
589,-5.0,1.044,0.2753727702940058
590,-5.0,1.056,0.2710491548433075
591,-5.0,1.068,0.2559063907527739
592,-5.0,1.08,0.2723483996587725
593,-5.0,1.092,0.26300714977048334
594,-5.0,1.104,0.2546451616602196
595,-5.0,1.1159999999999999,0.26141114543467336
596,-5.0,1.128,0.2629881739552717
597,-5.0,1.14,0.25588389373608206
598,-5.0,1.152,0.2644474883107949
599,-5.0,1.1640000000000001,0.26496390920369606
600,-5.0,1.176,0.26859659360084964
601,-5.0,1.188,0.26020021032188984
602,-5.0,1.2,0.26116499690068984
603,-5.0,1.212,0.27098008397659057
604,-5.0,1.224,0.26399783760036144
605,-5.0,1.236,0.26271090951838244
606,-5.0,1.248,0.2661717996788639
607,-5.0,1.26,0.2663458046693651
608,-5.0,1.272,0.25401360501341824
609,-5.0,1.284,0.25787014299448247
610,-5.0,1.296,0.2652888184695593
611,-5.0,1.308,0.25240714691112637
612,-5.0,1.32,0.25973256598773686
613,-5.0,1.3319999999999999,0.2508368156714542
614,-5.0,1.344,0.26418787428430257
615,-5.0,1.3559999999999999,0.2489135137217879
616,-5.0,1.368,0.26117075867337075
617,-5.0,1.38,0.26169796946118723
618,-5.0,1.392,0.26489611992131534
619,-5.0,1.404,0.2531850695729145
620,-5.0,1.416,0.2615109303865099
621,-5.0,1.4280000000000002,0.2566477621169372
622,-5.0,1.44,0.24326617235266737
623,-5.0,1.452,0.2534376318757472
624,-5.0,1.464,0.2616269074292435
625,-5.0,1.476,0.24944609752853444
626,-5.0,1.4880000000000002,0.25647972244105366
627,-5.0,1.5,0.24212885690961725
628,-5.0,1.5119999999999998,0.2538205690867897
629,-5.0,1.524,0.2528932112480617
630,-5.0,1.536,0.2492630046127083
631,-5.0,1.548,0.24890560307885842
632,-5.0,1.56,0.24784818106274636
633,-5.0,1.5719999999999998,0.2658486687535737
634,-5.0,1.584,0.25693082559524555
635,-5.0,1.5959999999999999,0.2549010535161212
636,-5.0,1.608,0.25923317575996446
637,-5.0,1.62,0.25292349124747954
638,-5.0,1.632,0.2576434630848877
639,-5.0,1.644,0.25236418314538456
640,-5.0,1.656,0.25178777008357806
641,-5.0,1.6680000000000001,0.2537078697373284
642,-5.0,1.68,0.24849621494914295
643,-5.0,1.692,0.2535280688222323
644,-5.0,1.704,0.24986423699041246
645,-5.0,1.716,0.24805595369526845
646,-5.0,1.7280000000000002,0.25176091648900106
647,-5.0,1.74,0.24630504376103055
648,-5.0,1.7519999999999998,0.24800453548149082
649,-5.0,1.764,0.253009267977946
650,-5.0,1.776,0.2532132080387608
651,-5.0,1.788,0.24252948414444025
652,-5.0,1.8,0.24174798215119972
653,-5.0,1.8119999999999998,0.24237211243589557
654,-5.0,1.824,0.2466464935174925
655,-5.0,1.8359999999999999,0.24399793239012144
656,-5.0,1.848,0.2435826892618864
657,-5.0,1.86,0.24498569533151054
658,-5.0,1.8719999999999999,0.2413950096085956
659,-5.0,1.884,0.24408815093124978
660,-5.0,1.896,0.24055293408357012
661,-5.0,1.908,0.23941051704811242
662,-5.0,1.92,0.23975892588371336
663,-5.0,1.932,0.24125903826430628
664,-5.0,1.944,0.23771464816018953
665,-5.0,1.956,0.2420027546366408
666,-5.0,1.9680000000000002,0.23795450510580304
667,-5.0,1.98,0.2366618956973264
668,-5.0,1.992,0.23586804701134154
669,-5.0,2.004,0.23668429191801363
670,-5.0,2.016,0.2375861269349522
671,-5.0,2.028,0.23753742946647782
672,-5.0,2.04,0.25359652311705083
673,-5.0,2.052,0.2673414874713185
674,-5.0,2.064,0.2866884564749421
675,-5.0,2.076,0.31127219677937756
676,-5.0,2.088,0.3357855674048171
677,-5.0,2.1,0.35275068865192416
678,-5.0,2.112,0.3575978300903124
679,-5.0,2.124,0.3680946949458127
680,-5.0,2.136,0.3711614749356891
681,-5.0,2.148,0.3810835954245145
682,-5.0,2.16,0.38450681699718486
683,-5.0,2.1719999999999997,0.38298465655995945
684,-5.0,2.184,0.3917952619793886
685,-5.0,2.1959999999999997,0.39076925315449207
686,-5.0,2.208,0.404956259127268
687,-5.0,2.22,0.40534797043746645
688,-5.0,2.2319999999999998,0.4038417672028708
689,-5.0,2.244,0.4128581932575332
690,-5.0,2.256,0.3997414382198856
691,-5.0,2.268,0.3968331849358876
692,-5.0,2.28,0.38730015318925987
693,-5.0,2.2920000000000003,0.37162057656453595
694,-5.0,2.3040000000000003,0.3715195815877257
695,-5.0,2.316,0.37118078111046376
696,-5.0,2.3280000000000003,0.3746981115819904
697,-5.0,2.34,0.36136119558613206
698,-5.0,2.352,0.35950578910791575
699,-5.0,2.364,0.3560391488881287
700,-5.0,2.376,0.36405144584565513
701,-5.0,2.388,0.3563010760758978
702,-5.0,2.4,0.35080993043742464
703,-5.0,2.412,0.3514997274148216
704,-5.0,2.424,0.35515511161272495
705,-5.0,2.436,0.34159100547265425
706,-5.0,2.448,0.3425799547524184
707,-5.0,2.46,0.3454812437951668
